INC_No,Year,EventDate,City,State,FlightType,AboardCount,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,AirCraftCategory,Make,AirCraftDamage,Operator,BroadPhaseofFlight
1,2024,6/3/2024,Guna,Madhya Pradesh,Trainer,1,No Injuries,0,0,1,Technical Failuer,Trainee Aircraft,Cessna,Substantial,Dhana-Based Chimes Aviation Academy,Approach
2,2024,5/3/2024,Raigad,Maharashtra,Commecial,2,No Injuries,0,0,2,Technical Failuer,Commercial Helicopter,Bell,Substantial,Mahalaxmi Aviation Pvt Ltd,Landing
3,2023,22-10-2023,Baramati,Maharashtra,Trainer,2,Minor,0,0,2,Technical Failuer,Trainee Aircraft,Tecnam,Substantial,Redbird Flight Training Academy,Takeoff
4,2023,19-10-2023,Baramati,Maharashtra,Trainer,1,Minor,0,0,1,Technical Failuer,Trainee Aircraft,Tecnam,Destroyed,Private Aviation Company,Takeoff
5,2023,14-09-2023,Mumbai,Maharashtra,Private,8,Serious,0,1,7,Bad Weather,Private Aircraft,Learjet,Substantial,Vsr Ventures Pvt Ltd,Landing
6,2023,11/7/2023,Bengaluru,Karnataka,Commecial,2,No Injuries,0,0,0,Technical Failuer,Commercial Aircraft,Beecraft,Substantial,Hindustan Aeronautics Limited ,Landing
7,2023,18-03-2023,Gondia,Maharashtra,Trainer,2,Fatal,2,0,0,Unknown,Trainee Aircraft,Diamond,Destroyed,Indira Gandhi Rashtriya Uran Akademi,Enroute
8,2023,1/1/2023,Madhya Pradesh,Madhya Pradesh,Trainer,2,Fatal,1,1,0,Training,Trainee Aircraft,Cessna,Destroyed,Private Aviation Company,Maneuvering
9,2022,18-10-2022,Rudraprayag,Uttarakhand,Commecial,7,Fatal,7,0,0,Technical Failuer,Commercial Helicopter,Bell,Destroyed,Aryan Aviation Pvt. Ltd.,Take-off
10,2022,22-07-2022,Baramati,Maharashtra,Trainer,1,No Injuries,0,0,0,Technical Failuer,Trainee Aircraft,Cessna,Substantial,"M/S Academy Of Carver Aviation Pvt Ltd, Baramati",Landing
11,2022,28-06-2022,Mumbai,Maharashtra,Commecial,9,Fatal,4,5,0,Loss of Control In-Flight,Commercial Helicopter,Sikorsky,Substantial,Pawan Hans Limited,Approach
12,2022,13-06-2022,Fursatganj,Uttar Pradesh,Trainer,1,No Injuries,0,0,0,Technical Failuer,Trainee Aircraft,Diamond,Substantial,M/S Indira Gandhi Rashtriya Uran Akademi,Landing
